opcode,a_type,b_type,result,zero,cov_gain,gain_label
3,LARGE,LARGE,4294967282,0,0.0,0
1,LARGE,LARGE,4294967213,0,0.0,0
5,ZERO,SMALL,0,1,0.0,0
3,ZERO,LARGE,58,0,0.0,0
2,LARGE,LARGE,48,0,0.0,0
1,ZERO,LARGE,4294967243,0,0.0,0
3,SMALL,SMALL,9,0,0.0,0
2,SMALL,SMALL,2,0,0.0,0
7,ZERO,SMALL,1,0,0.0,0
3,LARGE,LARGE,4294967283,0,0.0,0
1,SMALL,LARGE,4294967282,0,0.0,0
3,LARGE,LARGE,4294967286,0,0.0,0
0,LARGE,SMALL,4294967292,0,0.0,0
7,LARGE,LARGE,0,1,0.0,0
4,LARGE,LARGE,4294967228,0,0.0,0
2,LARGE,LARGE,34,0,0.0,0
2,LARGE,ZERO,0,1,0.0,0
2,LARGE,LARGE,36,0,0.0,0
1,LARGE,SMALL,43,0,0.0,0
3,SMALL,LARGE,4294967291,0,0.0,0
4,LARGE,LARGE,66,0,0.0,0
